city,state,zip,latitude,longitude,admission_rate,sat_verbal_midrange,sat_math_midrange,sat_writing_midrange,act_combined_midrange,act_english_midrange,act_math_midrange,act_writing_midrange,sat_total_average,undergrad_size,percent_white,percent_black,percent_hispanic,percent_asian,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,percent_pell_grant,completion_rate,predominant_degree,highest_degree,ownership,region,gender,carnegie_basic_classification,carnegie_undergraduate,carnegie_size,religious_affiliation,percent_female,agege24,faminc,mean_earnings_6_years,median_earnings_6_years,mean_earnings_10_years,median_earnings_10_years
Unity,ME,4988,44.6032,-69.3323,0.8882,,,,,,,,,553.0,0.8915,0.0108,0.0289,0.0145,0.0108,34137.0,,25000.0,25000.0,7546.0,5994.0,1.0,0.4413,0.5141,Bachelors,Bachelors,Private nonprofit,"New England (CT, ME, MA, NH, RI, VT)",COED,Baccalaureate Colleges--Diverse Fields,"Full-time four-year, selective, lower transfer-in","Very small 4-year, highly residential (less than 1,000)",,0.34999999403953,0.07000000029802,69832.99,27000.0,25000.0,36900.0,36100.0
Parsippany,NJ,07054-3897,40.8614,-74.3814,,,,,,,,,,148.0,0.4662,0.1284,0.2905,0.027000000000000003,0.0,27704.0,,13567.0,13567.0,1544.0,,,0.564,,Certificate,Certificate,Private for-profit,"Mid East (DE, DC, MD, NJ, NY, PA)",COED,,,,,0.54000002145767,0.56000000238418,40413.74,30400.0,27200.0,52900.0,49200.0
Largo,FL,33771,27.8943,-82.7575,,,,,,,,,,128.0,0.3906,0.2734,0.0938,0.0391,0.0,35082.0,,21540.0,21540.0,14047.0,5500.0,,0.7793,0.2,Bachelors,Graduate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Special Focus Institutions--Schools of business and management,,,,0.72000002861022,0.23999999463558,43091.36,,,,
Fairfax,VA,22030,38.9074,-77.2146,,,,,,,,,,2271.0,0.2175,0.6112,0.063,0.0392,0.8098,29327.0,,15135.0,15135.0,3667.0,5400.0,0.1737,0.6556,0.0824,Associate,Graduate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Master's Colleges and Universities (larger programs),Higher part-time four-year,"Very small 4-year, primarily nonresidential (less than 1,000,)",,0.51999998092651,0.60000002384185,47901.98,34600.0,31200.0,45500.0,36800.0
Murray,UT,84123-5671,40.6596,-111.9021,,,,,,,,,,2382.0,0.6108,0.1016,0.0928,0.0101,0.0,30635.0,,21600.0,21600.0,2122.0,3299.0,0.3132,0.7998,0.5688,Associate,Graduate,Private nonprofit,"Rocky Mountains (CO, ID,MT, UT, WY)",COED,Baccalaureate Colleges--Diverse Fields,"Full-time four-year, inclusive","Small 4-year, primarily nonresidential (1,000 to 2,999)",,0.61000001430511,0.62999999523162,31209.92,28300.0,24000.0,36000.0,31700.0
Greencastle,IN,46135-1772,39.6395,-86.8636,0.6121,585.0,615.0,580.0,27.0,28.0,27.0,,1215.0,2272.0,0.6822,0.0643,0.0335,0.0308,0.0013,51050.0,,40640.0,40640.0,18330.0,8900.0,0.836,0.1879,0.7922,Bachelors,Bachelors,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Baccalaureate Colleges--Arts & Sciences,"Full-time four-year, more selective, lower transfer-in","Small 4-year, highly residential (1,000 to 2,999)",United Methodist,0.54000002145767,0.0,107948.47,37900.0,35000.0,58200.0,47800.0
Williamsburg,VA,23187-8795,37.3095,-76.73100000000001,0.3321,690.0,675.0,670.0,30.0,31.0,30.0,9.0,1358.0,6235.0,0.595,0.0714,0.0914,0.0682,0.0074,25938.0,,15463.0,38440.0,13265.0,10253.0,0.8087,0.1175,0.8993,Bachelors,Graduate,Public,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,Research Universities (high research activity),"Full-time four-year, more selective, lower transfer-in","Medium 4-year, highly residential (3,000 to 9,999)",,0.56000000238418,0.05000000074505,112915.0,48300.0,42600.0,70200.0,56400.0
Chicago,IL,60603,41.8798,-87.6248,0.9881,,,,,,,,,1393.0,0.2441,0.40700000000000003,0.2513,0.0215,0.4372,30180.0,,15915.0,15915.0,5779.0,6104.0,0.8765,0.48700000000000004,0.4286,Bachelors,Graduate,Private nonprofit,"Great Lakes (IL, IN, MI, OH, WI)",COED,Doctoral/Research Universities,"Medium full-time four-year, selective, lower transfer-in","Medium 4-year, primarily nonresidential (3,000 to 9,999)",,0.80000001192092,0.81999999284744,45871.25,43500.0,39800.0,51100.0,43700.0
North Miami Beach,FL,33162,25.9264,-80.1636,,,,,,,,,,482.0,0.028999999999999998,0.6494,0.305,0.0062,0.0,,23048.0,,,3895.0,,,0.6713,,Certificate,Certificate,Private for-profit,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",COED,,,,,,,,16000.0,13500.0,17700.0,14300.0
Springfield,MO,65804,37.2085,-93.2779,,,,,,,,,,431.0,0.5545,0.1763,0.0418,0.006999999999999999,0.0,23368.0,,14416.0,14416.0,2980.0,,0.0,0.882,0.33,Associate,Associate,Private for-profit,"Plains (IA, KS, MN, MO, NE, ND, SD)",COED,Associate's--Private For-profit,Higher full-time two-year,Very small 2-year (less than 500),,0.57999998331069,0.68000000715255,20279.67,20600.0,19100.0,26300.0,24100.0
