checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
b'<0',60.0,b'delayed previously',b'business',6836.0,b'<100',b'>=7',3.0,b'male single',b'none',4.0,b'no known property',63.0,b'none',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'>=200',21.0,b'critical/other existing credit',b'education',2319.0,b'<100',b'<1',2.0,b'male div/sep',b'none',1.0,b'car',33.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',6.0,b'existing paid',b'used car',1236.0,b'500<=X<1000',b'1<=X<4',2.0,b'male single',b'none',4.0,b'life insurance',50.0,b'none',b'rent',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',21.0,b'no credits/all paid',b'new car',5003.0,b'no known savings',b'1<=X<4',1.0,b'female div/dep/mar',b'none',4.0,b'life insurance',29.0,b'bank',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',12.0,b'existing paid',b'radio/tv',886.0,b'no known savings',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'car',21.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'<0',24.0,b'existing paid',b'new car',1442.0,b'<100',b'4<=X<7',4.0,b'female div/dep/mar',b'none',4.0,b'car',23.0,b'none',b'rent',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',6.0,b'existing paid',b'furniture/equipment',2978.0,b'500<=X<1000',b'1<=X<4',1.0,b'male single',b'none',2.0,b'car',32.0,b'none',b'own',1.0,b'skilled',1.0,b'yes',b'yes',b'good'
b'<0',24.0,b'existing paid',b'furniture/equipment',2359.0,b'100<=X<500',b'unemployed',1.0,b'male div/sep',b'none',1.0,b'life insurance',33.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'<0',24.0,b'existing paid',b'furniture/equipment',2996.0,b'no known savings',b'1<=X<4',2.0,b'male mar/wid',b'none',4.0,b'car',20.0,b'none',b'own',1.0,b'skilled',1.0,b'none',b'yes',b'bad'
b'no checking',18.0,b'critical/other existing credit',b'furniture/equipment',3780.0,b'<100',b'<1',3.0,b'male div/sep',b'none',2.0,b'car',35.0,b'none',b'own',2.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'no checking',27.0,b'existing paid',b'repairs',5190.0,b'no known savings',b'>=7',4.0,b'male single',b'none',4.0,b'life insurance',48.0,b'none',b'own',4.0,b'skilled',2.0,b'yes',b'yes',b'good'
b'0<=X<200',36.0,b'existing paid',b'radio/tv',4795.0,b'<100',b'<1',4.0,b'female div/dep/mar',b'none',1.0,b'no known property',30.0,b'none',b'own',1.0,b'high qualif/self emp/mgmt',1.0,b'yes',b'yes',b'good'
b'<0',12.0,b'all paid',b'new car',697.0,b'<100',b'<1',4.0,b'male single',b'none',2.0,b'car',46.0,b'bank',b'own',2.0,b'skilled',1.0,b'yes',b'yes',b'bad'
b'no checking',18.0,b'no credits/all paid',b'business',4165.0,b'<100',b'1<=X<4',2.0,b'male single',b'none',2.0,b'car',36.0,b'stores',b'own',2.0,b'skilled',2.0,b'none',b'yes',b'bad'
b'<0',14.0,b'existing paid',b'new car',3973.0,b'<100',b'unemployed',1.0,b'male single',b'none',4.0,b'no known property',22.0,b'none',b'for free',1.0,b'skilled',1.0,b'none',b'yes',b'good'
b'no checking',18.0,b'critical/other existing credit',b'education',1864.0,b'100<=X<500',b'1<=X<4',4.0,b'female div/dep/mar',b'none',2.0,b'real estate',30.0,b'none',b'own',2.0,b'skilled',1.0,b'none',b'yes',b'bad'
